method,method_display_name,activity,signal,source_array,channel_idx_in_source_array,hz,window_len,reference_split,real_sampled_windows,synthetic_sampled_windows,real_mean,synthetic_mean,abs_mean_diff_lower_is_better,real_std,synthetic_std,abs_std_diff_lower_is_better,histogram_overlap_0_to_1_higher_is_better,fft_logmag_mae_lower_is_better
posterior_bank_v2,KoVAE-Posterior,3,BVP,BVP,0,64,512,real_train,1000,1000,0.0009443562059340352,-0.019371977637158123,0.020316333843092158,1.346010291309056,1.0827863220838874,0.26322396922516855,0.9474609374999999,0.11833291507699407
posterior_bank_v2,KoVAE-Posterior,3,EDA,SLOW,0,4,32,real_train,1000,1000,1.0283883690949496,0.9984667062137742,0.02992166288117537,1.1393802848028258,0.9265719418165262,0.21280834298629958,0.7103437499999999,0.007356986489279427
posterior_bank_v2,KoVAE-Posterior,3,TEMP,SLOW,1,4,32,real_train,1000,1000,-1.0027048983570421,-1.013981423579622,0.011276525222579936,0.9465884677503682,0.8053006151190917,0.14128785263127652,0.631875,0.04256983104661521
posterior_bank_v2,KoVAE-Posterior,4,ACC_x,ACC,0,32,256,real_train,1000,1000,0.6403958853652657,0.6006577208787348,0.03973816448653089,1.266551844817447,0.9290196687125458,0.33753217610490127,0.8629648437499999,0.2800918010183095
posterior_bank_v2,KoVAE-Posterior,4,ACC_y,ACC,1,32,256,real_train,1000,1000,0.7754716316823106,0.7843428250617289,0.00887119337941833,0.872628370838459,0.6118035715141206,0.26082479932433844,0.82580078125,0.6060542073123271
posterior_bank_v2,KoVAE-Posterior,4,ACC_z,ACC,2,32,256,real_train,1000,1000,0.773812113938744,0.7620340942821713,0.011778019656572769,0.8584508322566295,0.5496363747462989,0.30881445751033065,0.81333984375,0.4608610266933961
posterior_bank_v2,KoVAE-Posterior,4,BVP,BVP,0,64,512,real_train,1000,1000,0.0007012702867980351,-0.018786115684230935,0.01948738597102897,1.2191737171634314,1.0254061886108905,0.19376752855254087,0.9413085937500001,0.09444233943970817
posterior_bank_v2,KoVAE-Posterior,4,EDA,SLOW,0,4,32,real_train,1000,1000,-0.015141685504309606,-0.039330693786032496,0.02418900828172289,0.5107635034589814,0.39825333330413726,0.1125101701548441,0.7993124999999999,0.019736798284175974
posterior_bank_v2,KoVAE-Posterior,4,TEMP,SLOW,1,4,32,real_train,1000,1000,-0.5634627448523243,-0.5263966104141437,0.03706613443818063,0.687592589999537,0.5916467523275121,0.09594583767202491,0.71103125,0.02772577991102886
posterior_bank_v2,KoVAE-Posterior,5,ACC_x,ACC,0,32,256,real_train,1000,1000,0.16526325565606384,0.1724717467753653,0.007208491119301469,1.1500958454385046,0.986349337481451,0.1637465079570536,0.8823124999999999,0.3502070184416402
posterior_bank_v2,KoVAE-Posterior,5,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.4935734154020756,-0.4903747519457247,0.003198663456350892,0.5107981700096144,0.4439205190370164,0.06687765097259796,0.9076796874999999,0.31698801739705235
posterior_bank_v2,KoVAE-Posterior,5,ACC_z,ACC,2,32,256,real_train,1000,1000,0.5747726661116612,0.5583005870306661,0.016472079080995128,0.7886831059577948,0.6985901895749119,0.09009291638288286,0.9071484375000001,0.3784057813242589
posterior_bank_v2,KoVAE-Posterior,5,BVP,BVP,0,64,512,real_train,1000,1000,-0.0015235983647313774,-0.014179743900956054,0.012656145536224676,1.09300933443873,0.9632922255725758,0.12971710886615417,0.9473535156250001,0.09281380282785882
posterior_bank_v2,KoVAE-Posterior,5,EDA,SLOW,0,4,32,real_train,1000,1000,0.6809849796233884,0.7337985286642797,0.052813549040891306,1.014879927759346,0.933102203201748,0.08177772455759813,0.8286875,0.010809280972172057
posterior_bank_v2,KoVAE-Posterior,5,TEMP,SLOW,1,4,32,real_train,1000,1000,0.3181384509468044,0.35560533477691936,0.03746688383011498,0.9079294822251933,0.7853315720483053,0.12259791017688804,0.7621875,0.04284730328982573
posterior_bank_v2,KoVAE-Posterior,6,ACC_x,ACC,0,32,256,real_train,1000,1000,-0.2194921494050577,-0.2639585011834279,0.04446635177837019,0.8625422959783454,0.7354026449315578,0.1271396510467876,0.8907578125,0.25275889755697434
posterior_bank_v2,KoVAE-Posterior,6,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.28522772074391106,-0.32754261430189946,0.0423148935579884,0.7522626491905299,0.6429160759275657,0.10934657326296415,0.838625,0.12145688795193381
posterior_bank_v2,KoVAE-Posterior,6,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.09919638477862464,-0.020180939696023414,0.07901544508260122,1.0557845242768984,0.9242899707170754,0.13149455355982298,0.8820234375,0.24454000048610186
posterior_bank_v2,KoVAE-Posterior,6,BVP,BVP,0,64,512,real_train,1000,1000,-0.0018727795632005701,-0.020488028632834356,0.018615249069633785,1.015164635245401,0.8716402435060657,0.14352439173933518,0.954775390625,0.08353261151960928
posterior_bank_v2,KoVAE-Posterior,6,EDA,SLOW,0,4,32,real_train,1000,1000,-0.09622304783331267,-0.1390976221727906,0.04287457433947792,0.6650986336788438,0.5305699204130148,0.13452871326582905,0.724375,0.024146314472245106
posterior_bank_v2,KoVAE-Posterior,6,TEMP,SLOW,1,4,32,real_train,1000,1000,0.5024156774969815,0.5708670941037126,0.06845141660673115,0.5542514179839734,0.4300459678093544,0.12420545017461898,0.7554687500000001,0.02329715162822394
posterior_bank_v2,KoVAE-Posterior,7,ACC_x,ACC,0,32,256,real_train,1000,1000,0.4237359677579661,0.39889386284681677,0.024842104911149354,0.9102287402648367,0.757331345622142,0.1528973946426947,0.8939765625,0.32841875820748656
posterior_bank_v2,KoVAE-Posterior,7,ACC_y,ACC,1,32,256,real_train,1000,1000,1.1118473200994559,1.0676633108823153,0.04418400921714061,1.1475062144028416,1.0167538848102402,0.1307523295926014,0.8804921875,0.3281356616873422
posterior_bank_v2,KoVAE-Posterior,7,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.5268404840407602,-0.5378990620386758,0.011058577997915542,0.7848860199714865,0.6550442746794655,0.12984174529202108,0.9150898437499999,0.34683356189124454
posterior_bank_v2,KoVAE-Posterior,7,BVP,BVP,0,64,512,real_train,1000,1000,5.374374766495649e-05,-0.005801521558480544,0.0058552653061455006,1.3003810446343838,1.0338346001507348,0.26654644448364895,0.93891796875,0.10775185994040792
posterior_bank_v2,KoVAE-Posterior,7,EDA,SLOW,0,4,32,real_train,1000,1000,-0.18755556870582427,-0.19639043079817203,0.008834862092347767,0.4250438862658663,0.34808705215992813,0.07695683410593818,0.7853749999999999,0.010739693098647236
posterior_bank_v2,KoVAE-Posterior,7,TEMP,SLOW,1,4,32,real_train,1000,1000,0.24869400803575265,0.299511542463908,0.05081753442815534,0.46642613335057675,0.39595374843683645,0.0704723849137403,0.7524062499999999,0.019485479444001495
posterior_bank_v2,KoVAE-Posterior,8,ACC_x,ACC,0,32,256,real_train,1000,1000,0.4439951364207809,0.4148636314971809,0.029131504923600005,0.8322470896390439,0.7094355126029308,0.12281157703611312,0.87733203125,0.1830488636372862
posterior_bank_v2,KoVAE-Posterior,8,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.5324131168325839,-0.503069619755377,0.029343497077206848,0.7520159251196115,0.6688531515653994,0.08316277355421209,0.8024179687499999,0.1093514887226979
posterior_bank_v2,KoVAE-Posterior,8,ACC_z,ACC,2,32,256,real_train,1000,1000,0.5447352361575613,0.5679262336856628,0.023190997528101498,0.8384443828678851,0.7567993552138695,0.0816450276540156,0.8519023437500001,0.18710609384997437
posterior_bank_v2,KoVAE-Posterior,8,BVP,BVP,0,64,512,real_train,1000,1000,-0.0015499358454972344,-0.02449013790846766,0.022940202062970427,1.0035880424007,0.8222048535129911,0.18138318888770888,0.9205097656250001,0.07755643348195362
posterior_bank_v2,KoVAE-Posterior,8,EDA,SLOW,0,4,32,real_train,1000,1000,-0.1693078191408988,-0.22066595241212053,0.05135813327122174,0.7358846071929137,0.566953448437453,0.16893115875546072,0.75275,0.04757878748010783
posterior_bank_v2,KoVAE-Posterior,8,TEMP,SLOW,1,4,32,real_train,1000,1000,0.33612613809163305,0.38344773559761236,0.04732159750597931,0.7228785726436917,0.5928675631642341,0.13001100947945765,0.7340625,0.02778890912152629
