model_family,synthetic_method,synthetic_method_display_name,framework,model,experiment,native_modality,native_hz,channels,activity_label,precision,recall,f1,support,correct_true_activity_windows,total_true_activity_windows,true_activity_window_accuracy
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.3441441441441441,0.27403156384505023,0.305111821086262,697,191,697,0.27403156384505023
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.48783977110157367,0.7505502567865003,0.5913294797687861,1363,1023,1363,0.7505502567865003
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.44016549968173135,0.43946615824594853,0.43981555096199715,3147,1383,3147,0.43946615824594853
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.2509140767824497,0.4867021276595745,0.3311218335343788,1128,549,1128,0.4867021276595745
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.43521594684385384,0.4496567505720824,0.4423185143500281,1748,786,1748,0.4496567505720824
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",1,0.3563218390804598,0.5504994450610433,0.4326210204971653,901,496,901,0.5504994450610433
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",2,0.9628099173553719,0.7338582677165354,0.8328865058087578,635,466,635,0.7338582677165354
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",3,0.6659574468085107,0.704954954954955,0.6849015317286652,444,313,444,0.704954954954955
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",4,0.9964912280701754,0.8149210903873745,0.8966061562746646,697,568,697,0.8149210903873745
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",5,0.8171611868484362,0.7476155539251651,0.7808429118773946,1363,1019,1363,0.7476155539251651
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",6,0.5167255915148219,0.603749602796314,0.5568581477139508,3147,1900,3147,0.603749602796314
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",7,0.7946257197696737,0.7340425531914894,0.7631336405529954,1128,828,1128,0.7340425531914894
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,acc,32,"ACC_x,ACC_y,ACC_z",8,0.5495342929720576,0.37128146453089245,0.44315466029361555,1748,649,1748,0.37128146453089245
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,1,0.51994851994852,0.8967813540510544,0.6582484725050917,901,808,901,0.8967813540510544
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,2,0.4912118408880666,0.8362204724409449,0.6188811188811189,635,531,635,0.8362204724409449
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,3,0.2391573729863692,0.4346846846846847,0.3085531574740208,444,193,444,0.4346846846846847
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,4,0.7220394736842105,0.629842180774749,0.6727969348659004,697,439,697,0.629842180774749
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,5,0.5244979919678715,0.479090242112986,0.5007668711656442,1363,653,1363,0.479090242112986
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,6,0.5338664158043274,0.3606609469335875,0.430494974397876,3147,1135,3147,0.3606609469335875
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,7,0.680119581464873,0.4033687943262411,0.5063995548135782,1128,455,1128,0.4033687943262411
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,bvp,64,BVP,8,0.3598580841358337,0.4061784897025172,0.3816178446654125,1748,710,1748,0.4061784897025172
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,1,0.0,0.0,0.0,898,0,898,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,2,0.07939366651658412,0.8981324278438031,0.1458907887479316,589,529,589,0.8981324278438031
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,3,0.0,0.0,0.0,417,0,417,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,4,0.0,0.0,0.0,677,0,677,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,5,0.10310362966859547,0.13639526791927628,0.11743559017375674,1437,196,1437,0.13639526791927628
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,6,0.35294117647058826,0.05305466237942122,0.09224318658280922,2488,132,2488,0.05305466237942122
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,7,0.21212121212121213,0.008120649651972157,0.01564245810055866,862,7,862,0.008120649651972157
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,bvp,64,BVP,8,0.0,0.0,0.0,1632,0,1632,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,1,0.12681159420289856,0.038845726970033294,0.059473237043330504,901,35,901,0.038845726970033294
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,2,0.0,0.0,0.0,635,0,635,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,3,0.5,0.0022522522522522522,0.004484304932735426,444,1,444,0.0022522522522522522
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,4,0.0,0.0,0.0,697,0,697,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,5,0.21354353278394841,0.4372707263389582,0.28695233509870005,1363,596,1363,0.4372707263389582
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,6,0.30028612303290414,0.6669844296155069,0.4141264673966657,3147,2099,3147,0.6669844296155069
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,7,0.0,0.0,0.0,1128,0,1128,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,bvp,64,BVP,8,0.0,0.0,0.0,1748,0,1748,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,1,0.47581552305961755,0.9389567147613762,0.631578947368421,901,846,901,0.9389567147613762
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,2,0.5258064516129032,0.7700787401574803,0.6249201277955272,635,489,635,0.7700787401574803
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,3,0.23824786324786323,0.5022522522522522,0.32318840579710145,444,223,444,0.5022522522522522
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,4,0.8132352941176471,0.793400286944046,0.8031953522149601,697,553,697,0.793400286944046
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,5,0.3852255825483391,0.57006603081438,0.4597633136094675,1363,777,1363,0.57006603081438
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,6,0.44423906346272335,0.22910708611375913,0.30230607966457024,3147,721,3147,0.22910708611375913
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,7,0.7708333333333334,0.3280141843971631,0.4601990049751244,1128,370,1128,0.3280141843971631
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,bvp,64,BVP,8,0.3712168004941322,0.3438215102974828,0.356994356994357,1748,601,1748,0.3438215102974828
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,1,0.250423968343697,0.9833518312985572,0.3991890065330029,901,886,901,0.9833518312985572
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,2,0.2396313364055299,0.0818897637795275,0.1220657276995305,635,52,635,0.0818897637795275
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,3,0.2880434782608695,0.1193693693693693,0.1687898089171974,444,53,444,0.1193693693693693
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,4,0.5563636363636364,0.2195121951219512,0.3148148148148148,697,153,697,0.2195121951219512
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,5,0.1702564102564102,0.1217901687454145,0.1420017108639863,1363,166,1363,0.1217901687454145
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,6,0.3053343949044586,0.2437241817604067,0.2710726276727337,3147,767,3147,0.2437241817604067
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,7,0.2709163346613545,0.1205673758865248,0.1668711656441718,1128,136,1128,0.1205673758865248
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,eda,4,EDA,8,0.4881720430107527,0.5194508009153318,0.5033259423503326,1748,908,1748,0.5194508009153318
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,1,0.0,0.0,0.0,898,0,898,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,2,0.0,0.0,0.0,589,0,589,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,3,0.0,0.0,0.0,417,0,417,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,4,0.07333133792277761,0.361890694239291,0.12195121951219512,677,245,677,0.361890694239291
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,5,0.18316831683168316,0.43771746694502434,0.25826319030999795,1437,629,1437,0.43771746694502434
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,6,0.32368896925858953,0.07194533762057878,0.11772443275238409,2488,179,2488,0.07194533762057878
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,7,0.11922365988909427,0.14965197215777262,0.13271604938271606,862,129,862,0.14965197215777262
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,eda,4,EDA,8,0.0,0.0,0.0,1632,0,1632,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,1,0.0,0.0,0.0,901,0,901,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,2,0.0,0.0,0.0,635,0,635,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,3,0.0,0.0,0.0,444,0,444,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,4,0.23581560283687944,0.381635581061693,0.2915068493150685,697,266,697,0.381635581061693
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,5,0.45435510887772196,0.7960381511371973,0.5785123966942148,1363,1085,1363,0.7960381511371973
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,6,0.30978006551240056,0.6310772163965681,0.4155681104833647,3147,1986,3147,0.6310772163965681
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,7,0.03333333333333333,0.0008865248226950354,0.0017271157167530224,1128,1,1128,0.0008865248226950354
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,8,0.019230769230769232,0.0005720823798627002,0.0011111111111111111,1748,1,1748,0.0005720823798627002
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,1,0.2602739726027397,0.9911209766925638,0.41228070175438597,901,893,901,0.9911209766925638
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,2,0.24757281553398058,0.08031496062992126,0.12128418549346016,635,51,635,0.08031496062992126
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,3,0.2636363636363636,0.06531531531531531,0.10469314079422383,444,29,444,0.06531531531531531
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,4,0.43109540636042404,0.1750358680057389,0.24897959183673468,697,122,697,0.1750358680057389
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,5,0.2837559972583962,0.3037417461482025,0.293408929836995,1363,414,1363,0.3037417461482025
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,6,0.31827687160184026,0.24181760406736574,0.27482845792704946,3147,761,3147,0.24181760406736574
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,7,0.3564356435643564,0.09574468085106383,0.1509433962264151,1128,108,1128,0.09574468085106383
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,8,0.4851063829787234,0.5217391304347826,0.5027563395810364,1748,912,1748,0.5217391304347826
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,1,0.1685667752442996,0.2297447280799112,0.1944574917801785,901,207,901,0.2297447280799112
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,2,0.3015665796344647,0.3637795275590551,0.3297644539614561,635,231,635,0.3637795275590551
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,3,0.1377314814814814,0.8040540540540541,0.2351778656126482,444,357,444,0.8040540540540541
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,4,0.1693548387096774,0.1506456241032998,0.1594533029612756,697,105,697,0.1506456241032998
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,5,0.3809523809523809,0.0176082171680117,0.0336605890603085,1363,24,1363,0.0176082171680117
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,6,0.374503430841459,0.3295201779472513,0.3505747126436782,3147,1037,3147,0.3295201779472513
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,7,0.725,0.1028368794326241,0.1801242236024844,1128,116,1128,0.1028368794326241
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,8,0.0815013404825737,0.0869565217391304,0.0841406033766952,1748,152,1748,0.0869565217391304
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,1,0.25766283524904215,0.29955456570155903,0.27703398558187436,898,269,898,0.29955456570155903
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,2,0.12914485165794065,0.12563667232597622,0.12736660929432014,589,74,589,0.12563667232597622
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,3,0.0,0.0,0.0,417,0,417,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,4,0.0,0.0,0.0,677,0,677,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,5,0.0,0.0,0.0,1437,0,1437,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,6,0.3664302600472813,0.6852893890675241,0.47752415628063294,2488,1705,2488,0.6852893890675241
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,7,0.0,0.0,0.0,862,0,862,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,8,0.20735785953177258,0.34191176470588236,0.25815405968077726,1632,558,1632,0.34191176470588236
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,1,0.0,0.0,0.0,901,0,901,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,2,0.0,0.0,0.0,635,0,635,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,3,0.0,0.0,0.0,444,0,444,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,4,0.12523133867982728,0.8737446197991392,0.21906474820143884,697,609,697,0.8737446197991392
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,5,0.379746835443038,0.022010271460014674,0.04160887656033287,1363,30,1363,0.022010271460014674
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,6,0.5005561735261401,0.7149666348903718,0.5888510861031143,3147,2250,3147,0.7149666348903718
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,7,0.03278688524590164,0.0017730496453900709,0.00336417157275021,1128,2,1128,0.0017730496453900709
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,8,0.4460431654676259,0.03546910755148741,0.06571277159512454,1748,62,1748,0.03546910755148741
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,1,0.14676616915422885,0.3274139844617092,0.20267949158364823,901,295,901,0.3274139844617092
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,2,0.0,0.0,0.0,635,0,635,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,3,0.13914133500470072,1.0,0.24429160935350758,444,444,444,1.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,4,0.0,0.0,0.0,697,0,697,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,5,0.22727272727272727,0.003668378576669112,0.007220216606498195,1363,5,1363,0.003668378576669112
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,6,0.4711673699015471,0.5322529393072768,0.4998507908087138,3147,1675,3147,0.5322529393072768
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,7,0.0,0.0,0.0,1128,0,1128,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,8,0.13540856031128404,0.09954233409610984,0.11473788328387735,1748,174,1748,0.09954233409610984
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.5644329896907216,0.4861265260821309,0.5223613595706619,901,438,901,0.4861265260821309
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.7769516728624535,0.658267716535433,0.7127024722932651,635,418,635,0.658267716535433
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",3,0.2087342709104367,0.6351351351351351,0.3142061281337047,444,282,444,0.6351351351351351
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",4,0.5430232558139535,0.6700143472022956,0.5998715478484264,697,467,697,0.6700143472022956
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",5,0.4156936011209715,0.652971386647102,0.5079908675799086,1363,890,1363,0.652971386647102
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",6,0.591828639428798,0.4741023196695265,0.5264643613267467,3147,1492,3147,0.4741023196695265
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",7,0.841246290801187,0.5026595744680851,0.6293007769145395,1128,567,1128,0.5026595744680851
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",8,0.3760399334442595,0.2585812356979405,0.3064406779661017,1748,452,1748,0.2585812356979405
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",1,0.0,0.0,0.0,898,0,898,0.0
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",2,0.0,0.0,0.0,589,0,589,0.0
