model_family,synthetic_method,synthetic_method_display_name,framework,model,experiment,native_modality,native_hz,channels,description,input_shape_train_native_N_T_C,input_shape_test_native_N_T_C,input_shape_train_framework_N_C_T,input_shape_test_framework_N_C_T,epochs,best_epoch_by_val_accuracy,best_val_accuracy,saved_best_model_file,used_saved_real_to_real_model,training_reused_from_experiment,batch_size,lr,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy,_loaded_from_result_csv
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,eda,4,EDA,EDA only,"[30000, 32, 1]","[10063, 32, 1]","[30000, 1, 32]","[10063, 1, 32]",50,16,0.3486885130405426,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_synthetic_to_real_eda.pth,False,,1024,0.001,0.3318095995230051,0.13156435997388807,0.226276194474752,0.16105319791506403,0.18182875279345614,0.3318095995230051,0.22889555034370324,0.226276194474752,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,eda,4,EDA,EDA only,"[60762, 32, 1]","[10063, 32, 1]","[60762, 1, 32]","[10063, 1, 32]",50,46,0.5463934540748596,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_plus_synthetic_to_real_eda.pth,False,,1024,0.001,0.32694027625956473,0.330769181692103,0.30935378526811924,0.2636468429312876,0.34260615457105187,0.32694027625956473,0.2963715254980806,0.30935378526811924,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,temp,4,TEMP,TEMP only,"[30762, 32, 1]","[10063, 32, 1]","[30762, 1, 32]","[10063, 1, 32]",50,25,0.3852458894252777,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_temp.pth,False,,1024,0.001,0.2215045215144589,0.2923971034182921,0.2606432162604172,0.1959191553748406,0.3160718750055776,0.2215045215144589,0.2086416034344044,0.2606432162604172,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/tsai_native_downstream_results.csv
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,temp,4,TEMP,TEMP only,"[30762, 32, 1]","[9000, 32, 1]","[30762, 1, 32]","[9000, 1, 32]",0,25,0.3852458894252777,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_to_real_temp.pth,True,real_to_real,1024,0.001,0.28955555555555557,0.12007447581075459,0.1815490489751177,0.14250985135470057,0.17305933971485063,0.28955555555555557,0.214798108683569,0.1815490489751177,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,temp,4,TEMP,TEMP only,"[30000, 32, 1]","[10063, 32, 1]","[30000, 1, 32]","[10063, 1, 32]",50,10,0.3122950792312622,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_synthetic_to_real_temp.pth,False,,1024,0.001,0.29345125708039355,0.18554554979531662,0.2059954604183004,0.11482520675409509,0.29780368852730305,0.29345125708039355,0.21675207259236584,0.2059954604183004,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,temp,4,TEMP,TEMP only,"[60762, 32, 1]","[10063, 32, 1]","[60762, 1, 32]","[10063, 1, 32]",50,13,0.38803279399871826,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_plus_synthetic_to_real_temp.pth,False,,1024,0.001,0.2576766371857299,0.139969520205561,0.2453597045552206,0.13359749895453066,0.2209326915360298,0.2576766371857299,0.20615254997115387,0.2453597045552206,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",ACC+BVP+EDA+TEMP fused,"[30762, 512, 6]","[10063, 512, 6]","[30762, 6, 512]","[10063, 6, 512]",50,7,0.7673770785331726,tsai_aeon_results/tsai_saved_models/best_InceptionTimePlus_real_to_real_fused.pth,False,,1024,0.001,0.497465964424128,0.5397438317590977,0.542232280179706,0.5149172739541693,0.5473916712570976,0.497465964424128,0.504374055815576,0.542232280179706,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/tsai_native_downstream_results.csv
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_to_synthetic,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",ACC+BVP+EDA+TEMP fused,"[30762, 512, 6]","[9000, 512, 6]","[30762, 6, 512]","[9000, 6, 512]",0,7,0.7673770785331726,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_to_real_fused.pth,True,real_to_real,1024,0.001,0.27655555555555555,0.044220925952872095,0.12529976019184652,0.05478618837715965,0.08009617976203043,0.27655555555555555,0.12009241503549452,0.12529976019184652,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,synthetic_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",ACC+BVP+EDA+TEMP fused,"[30000, 512, 6]","[10063, 512, 6]","[30000, 6, 512]","[10063, 6, 512]",50,5,0.5965573787689209,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_synthetic_to_real_fused.pth,False,,1024,0.001,0.5075027327834641,0.6033977510636037,0.5521501057065452,0.49359120885414653,0.6477247212151828,0.5075027327834641,0.5107484300219315,0.5521501057065452,
kovae,rollout_v1,KoVAE-Rollout,tsai,InceptionTimePlus,real_plus_synthetic_to_real,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",ACC+BVP+EDA+TEMP fused,"[60762, 512, 6]","[10063, 512, 6]","[60762, 6, 512]","[10063, 6, 512]",50,9,0.7581967115402222,/home/iailab42/khans1/projects/ir/results/downstream_extended_tsai_aeon/kovae/rollout_v1/tsai_saved_models/best_InceptionTimePlus_real_plus_synthetic_to_real_fused.pth,False,,1024,0.001,0.4933916327139024,0.49838578154447166,0.5157075939692768,0.47930830567033716,0.507421285781902,0.4933916327139024,0.4759504176227868,0.5157075939692768,
