framework,model,model_family,experiment,synthetic_method,synthetic_method_display_name,modality,native_hz,channels,description,train_windows_original_before_aeon_filter,train_windows_dropped_by_aeon_filter,train_windows,test_windows_original_before_aeon_filter,test_windows_dropped_by_aeon_filter,test_windows,used_pretrained_real_model,saved_model_file,pretrained_results_dir,aeon_n_kernels,aeon_n_jobs,aeon_low_variation_strategy,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,eda,4,EDA,EDA native 4 Hz,30000,0.0,30000.0,10063,0,10063,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__prior_v1__eda.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.18374242273675842,0.15332929505646675,0.19589322898557565,0.11072772667627084,0.18290559871611034,0.18374242273675842,0.1310526371035846,0.19589322898557565
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,eda,4,EDA,EDA native 4 Hz,60762,0.0,60762.0,10063,0,10063,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__real_plus_synthetic_to_real__prior_v1__eda.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.29881745006459304,0.2787673146952386,0.25931894409318135,0.2321913199414528,0.3099197937107444,0.29881745006459304,0.27997225248115637,0.25931894409318135
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,temp,4,TEMP,TEMP native 4 Hz,30762,,,10063,66,9997,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_temp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.18265479643893168,0.18598459326100003,0.1734924190407077,0.14568509375950187,0.24112219944638383,0.18265479643893168,0.18861094746413484,0.1734924190407077
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,temp,4,TEMP,TEMP native 4 Hz,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_temp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.07966666666666666,0.15947354759950055,0.1259837568746525,0.03801659323813289,0.21728144991902767,0.07966666666666666,0.03098752210473848,0.1259837568746525
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,temp,4,TEMP,TEMP native 4 Hz,30000,0.0,30000.0,10063,66,9997,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__prior_v1__temp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.2848854656396919,0.08082451073879098,0.19578101648886728,0.09929244142338291,0.12774789332850875,0.2848854656396919,0.16890203030827997,0.19578101648886728
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,temp,4,TEMP,TEMP native 4 Hz,60762,254.0,60508.0,10063,66,9997,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__real_plus_synthetic_to_real__prior_v1__temp.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.2114634390317095,0.23428958232223146,0.21886184002892242,0.18077285519128095,0.27507842282104905,0.2114634390317095,0.21194019598600056,0.21886184002892242
aeon,MiniRocketClassifier,timevae,real_to_real,none,none,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",Fused resampled to length 512,30762,,,10063,125,9938,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_fused.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.6858522841618032,0.7283249635340421,0.7691036543841254,0.7281241609034466,0.7204747440467786,0.6858522841618032,0.6874591209142438,0.7691036543841254
aeon,MiniRocketClassifier,timevae,real_to_3synthetic,prior_v1,TimeVAE-Prior,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",Fused resampled to length 512,30762,,,9000,0,9000,True,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results/aeon_saved_models/MiniRocketClassifier_real_to_real_fused.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.181,0.13479885697079147,0.13139538793425426,0.06279220105422845,0.22912400580342424,0.181,0.08236742471787227,0.13139538793425426
aeon,MiniRocketClassifier,timevae,synthetic_to_real,prior_v1,TimeVAE-Prior,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",Fused resampled to length 512,30000,0.0,30000.0,10063,125,9938,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__synthetic_to_real__prior_v1__fused.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.30780841215536325,0.31508910165392734,0.41378567502027896,0.31475345337286387,0.2738336246632495,0.30780841215536325,0.25145735597797836,0.41378567502027896
aeon,MiniRocketClassifier,timevae,real_plus_synthetic_to_real,prior_v1,TimeVAE-Prior,fused,64,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP",Fused resampled to length 512,60762,661.0,60101.0,10063,125,9938,False,/home/iailab42/khans1/projects/ir/models/downstream_extended/timevae/aeon_saved_models/MiniRocketClassifier__real_plus_synthetic_to_real__prior_v1__fused.joblib,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/tsai_aeon_results,5000,8,drop_cases,0.7203662708794526,0.7547744531614147,0.7860299305837113,0.7455083565620664,0.760388767899458,0.7203662708794526,0.7282472037785452,0.7860299305837113
