framework,model,experiment,native_modality,native_hz,channels,branches,description,input_shape_train_native_by_branch_N_T_C,input_shape_test_native_by_branch_N_T_C,input_shape_train_framework,input_shape_test_framework,epochs,best_epoch_by_val_macro_f1,best_val_macro_f1,best_val_accuracy,saved_best_model_file,training_history_file,used_saved_real_to_real_model,training_reused_from_experiment,batch_size,lr,weight_decay,dropout,patience,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,eda,4,EDA,eda,EDA only,"{""eda"": [30000, 32, 1]}","{""eda"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,4,0.32956504345421667,0.40229508196721314,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_eda.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_synthetic_to_real_eda_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.240484944847461,0.19914751143893933,0.2967428837951934,0.187982755841809,0.25875647314438655,0.240484944847461,0.18808327328485228,0.2967428837951934
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,eda,4,EDA,eda,EDA only,"{""eda"": [60762, 32, 1]}","{""eda"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,31,0.3901690734933372,0.42885245901639346,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_eda.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_real_plus_synthetic_to_real_eda_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.25539103647023753,0.23448917560349186,0.2837702761588778,0.2249922924122288,0.27457169980893603,0.25539103647023753,0.22424503110322516,0.2837702761588778
cnnbilstm,NativeCNNBiLSTM,real_to_real,temp,4,TEMP,temp,TEMP only,"{""temp"": [30762, 32, 1]}","{""temp"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,7,0.2590252390438944,0.2457377049180328,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_temp.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_temp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.1856305276756434,0.162309600705033,0.2315883869991875,0.1662392499314803,0.2187634444279009,0.1856305276756434,0.1795888854448949,0.2315883869991875
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,temp,4,TEMP,temp,TEMP only,"{""temp"": [30762, 32, 1]}","{""temp"": [30000, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,7,0.25902523904389446,0.2457377049180328,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_temp.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.2136,0.3156771461936896,0.19671187477075053,0.15381460712669504,0.3206117522958644,0.2136,0.19480820588474682,0.19671187477075053
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,temp,4,TEMP,temp,TEMP only,"{""temp"": [30000, 32, 1]}","{""temp"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,11,0.33762137932971004,0.39049180327868854,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_temp.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_synthetic_to_real_temp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.3258471628738945,0.1659966889769931,0.28131717479902457,0.1937013262751512,0.24433394993579,0.3258471628738945,0.27144779820498544,0.28131717479902457
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,temp,4,TEMP,temp,TEMP only,"{""temp"": [60762, 32, 1]}","{""temp"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,33,0.3019632143685573,0.2827868852459016,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_temp.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_real_plus_synthetic_to_real_temp_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.1749975156513962,0.1824842877256147,0.21967948215265334,0.1609978315001899,0.23798724887979378,0.1749975156513962,0.17713715171672098,0.21967948215265334
cnnbilstm,NativeCNNBiLSTM,real_to_real,fused,32/64/4/4,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP","acc,bvp,eda,temp",ACC+BVP+EDA+TEMP fused native-rate multibranch,"{""acc"": [30762, 256, 3], ""bvp"": [30762, 512, 1], ""eda"": [30762, 32, 1], ""temp"": [30762, 32, 1]}","{""acc"": [10063, 256, 3], ""bvp"": [10063, 512, 1], ""eda"": [10063, 32, 1], ""temp"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,36,0.8857169987159308,0.8344262295081967,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_fused.pt,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_real_to_real_fused_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.6340057636887608,0.6944480319520029,0.7583476676351317,0.6915464716305454,0.6809548764040221,0.6340057636887608,0.6374634496151083,0.7583476676351317
cnnbilstm,NativeCNNBiLSTM,real_to_synthetic,fused,32/64/4/4,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP","acc,bvp,eda,temp",ACC+BVP+EDA+TEMP fused native-rate multibranch,"{""acc"": [30762, 256, 3], ""bvp"": [30762, 512, 1], ""eda"": [30762, 32, 1], ""temp"": [30762, 32, 1]}","{""acc"": [30000, 256, 3], ""bvp"": [30000, 512, 1], ""eda"": [30000, 32, 1], ""temp"": [30000, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,0,36,0.8857169987159308,0.8344262295081967,/home/iailab42/khans1/projects/ir/models/downstream/pretrained/cnnbilstm_native_results/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_to_real_fused.pt,,True,real_to_real,384,0.001,0.0001,0.5,25,0.3901,0.5338485398091298,0.30676713318671867,0.29697657754497714,0.47357300368519645,0.3901,0.3256126172095548,0.30676713318671867
cnnbilstm,NativeCNNBiLSTM,synthetic_to_real,fused,32/64/4/4,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP","acc,bvp,eda,temp",ACC+BVP+EDA+TEMP fused native-rate multibranch,"{""acc"": [30000, 256, 3], ""bvp"": [30000, 512, 1], ""eda"": [30000, 32, 1], ""temp"": [30000, 32, 1]}","{""acc"": [10063, 256, 3], ""bvp"": [10063, 512, 1], ""eda"": [10063, 32, 1], ""temp"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,1,0.6058094294466146,0.5580327868852459,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_synthetic_to_real_fused.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_synthetic_to_real_fused_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.441617807810792,0.5003201550967271,0.528322027260004,0.43328530430831574,0.5827663430734948,0.441617807810792,0.43416603454446007,0.528322027260004
cnnbilstm,NativeCNNBiLSTM,real_plus_synthetic_to_real,fused,32/64/4/4,"ACC_x,ACC_y,ACC_z,BVP,EDA,TEMP","acc,bvp,eda,temp",ACC+BVP+EDA+TEMP fused native-rate multibranch,"{""acc"": [60762, 256, 3], ""bvp"": [60762, 512, 1], ""eda"": [60762, 32, 1], ""temp"": [60762, 32, 1]}","{""acc"": [10063, 256, 3], ""bvp"": [10063, 512, 1], ""eda"": [10063, 32, 1], ""temp"": [10063, 32, 1]}",dict_of_native_rate_N_T_C_tensors,dict_of_native_rate_N_T_C_tensors,100,9,0.8855114624269029,0.8388524590163935,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_saved_models/best_NativeCNNBiLSTM_real_plus_synthetic_to_real_fused.pt,/home/iailab42/khans1/projects/ir/results/downstream_cnnbilstm/timevae/prior_v1/cnnbilstm_real_plus_synthetic_to_real_fused_training_history.csv,False,,384,0.001,0.0001,0.5,25,0.6468250024843486,0.6684662127674698,0.7574631281173252,0.6827207036139391,0.6797781957874576,0.6468250024843486,0.6452499485732095,0.7574631281173252
